ROS,ROSSymbol,SeawaterLow_M,SeawaterHigh_M,ConcentrationCitation,DiffusionDistance_nm,DiffusionDistanceCitation,LifetimeLow_s,LifetimeHigh_s,LifetimeCitation,CrossesCellMembrane,CrossesCellMembraneCitation,AbioticProductionLow_Ms^-1^,AbioticProductionHigh_Ms^-1^,AbioticProductionRatesCitation,DiffCoef_um^2^us,DiffCoefCitation
Hydrogen Peroxide,H~2~O~2~,1.00E-09,1.00E-06,[@diazProductionExtracellularReactive2018; @schneiderKINETICSBIOLOGICALHYDROGEN2015],NA,NA,3600,120000,[@lesserOXIDATIVESTRESSMARINE2006; @diazProductionExtracellularReactive2018; @schneiderKINETICSBIOLOGICALHYDROGEN2015],Yes,[@bienertAquaporinfacilitatedTransmembraneDiffusion2014; @almasalmehStructuralDeterminantsHydrogen2014; @wangCharacterizationAquaporindrivenHydrogen2020; @millerAquaporin3MediatesHydrogen2010],1.00E-13,1.00E-11,[@zinserMicrobialContributionReactive2018],1500,[@tjellDiffusionRateHydrogen2018]
Superoxide,O~2~^•−^,1.00E-12,1.00E-09,[@diazProductionExtracellularReactive2018; @adesinaPhotochemicallyGeneratedNitric2021],320,[@lesserOXIDATIVESTRESSMARINE2006],0.001,60,[@diazProductionExtracellularReactive2018; @adesinaPhotochemicallyGeneratedNitric2021],No,[@korshunovPotentialRolePeriplasmic2002],1.00E-14,1.00E-10,[@zinserMicrobialContributionReactive2018],210,[@reinsbergElectrochemistryAchievingHighly2019]
Nitric Oxide,NO^•^,1.00E-12,1.00E-10,[@tianPhotoproductionNitricOxide2020; @adesinaPhotochemicallyGeneratedNitric2021],NA,NA,2,20,[@olasehindePhotochemicalProductionConsumption2010; @adesinaPhotochemicallyGeneratedNitric2021],Yes,[@delrioReactiveOxygenSpecies2009],1.00E-13,1.00E-11,[@adesinaPhotochemicallyGeneratedNitric2021],2210,[@zachariaDiffusivitySolubilityNitric2005]
Hydroxyl Radical,HO^•^,1.00E-18,1.00E-15,[@diazProductionExtracellularReactive2018],4.5,[@lesserOXIDATIVESTRESSMARINE2006],1.00E-06,1.00E-06,[@diazProductionExtracellularReactive2018],NA,NA,NA,NA,NA,NA,NA
Singlet Oxygen,^1^O~2~,1.00E-13,1.00E-14,[@sundaySingletOxygenPhotogeneration2020],82,[@lesserOXIDATIVESTRESSMARINE2006],1.00E-06,1.00E-06,[@lesserOXIDATIVESTRESSMARINE2006],NA,NA,NA,NA,NA,2100,[@dillMolecularDrivingForces2011]
Peroxynitrite,ONOO^−^,1.00E-12,1.00E-11,[@adesinaPhotochemicallyGeneratedNitric2021],NA,NA,0.001,0.001,[@zielonkaPeroxynitriteMajorSpecies2010; @adesinaPhotochemicallyGeneratedNitric2021],Yes,[@marlaPeroxynitriteRapidlyPermeates1997],1.00E-11,1.00E-09,[@adesinaPhotochemicallyGeneratedNitric2021],NA,NA
